Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews
Beinn Iaruinn,3.10,805.00,Central Highlands,Monadh Liath to Glen Roy,Glen Roy,56.970165,-4.803162,139.6,3.0,"The walk starts from the bridge over the Allt a' Bhreac Achaidh; there is parking on the grass verge either on the bend just before the descent to the bridge, or after the bridge on the right.",None nearby,No,3.3-4.4 hrs,10:35,
Beinn nam Fuaran,3.22,806.00,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Above Bridge of Orchy,56.507166,-4.664673,95.2,3.04,There is limited parking on the east side of the A82 just north of the sign for the Loch Lomond National Park boundary.,None nearby,No,3.3-4.4 hrs,10:31,
Meall nan Subh,3.09,806.00,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Glen Lochay,56.524508,-4.50382,86.2,2.33,"Park at the car park near the end of the road up Glen Lochay, around 600m east of Kenknock. (NN466364)",None nearby,No,3.3-4.4 hrs,11:56,
Ben Gulabin,3.33,806.00,Eastern Highlands,Glenshee to Cairn o'Mount,Glen Shee,56.832658,-3.475889,79.9,2.02,There is space for a couple of cars to park carefully here without blocking the gateway.,None nearby,No,3.3-4.4 hrs,12:33,
Monamenach,2.77,807.00,Eastern Highlands,Glenshee to Cairn o'Mount,Angus Glens,56.820203,-3.351552,82.1,2.65,"There is no parking at Auchavan itself, so instead follow the rough track to the right, taking care to find a space on the grassy ground before the bridge over the river.",None nearby,No,3.3-4.5 hrs,11:11,
Creag Rainich,3.94,807.90,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,Fisherfield,57.725679,-5.199031,204.0,4.58,From the parking area walk back along the road for 20 metres until you reach the track leading to Loch a Bhraoin; it is signed for long distance routes to Kinlochewe and Loch Fannich.,None nearby,No,3.3-4.5 hrs,07:20,
Hart Fell,3.46,808.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.408054,-3.401421,49.8,1.78,"Park near the start of a track just east of Blackshope Cottage, around 10km along the A708 from Moffat; there is space for several cars without impeding any entrances, or on the verge opposite.",None nearby,No,3.3-4.5 hrs,12:56,
"Garbh-bheinn, Skye",4.56,808.30,Western Highlands and Inner Hebrides,Inner Hebrides,"Strathaird and Red Cuillin, Skye",57.233132,-6.092495,217.4,4.79,Park in the large lay-by near the Eas a Bhradain waterfall on the A87(T) at the head of Loch Ainort.,None nearby,No,3.3-4.5 hrs,06:55,
Creag Mac Ranaich,3.79,808.60,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Glen Dochart to Loch Voil,56.399899,-4.358066,70.4,1.69,Park in the large car park on the A85 near the west end of Loch Earn in Lochearnhead.,None nearby,No,3.3-4.5 hrs,13:07,
"Sàil Gharbh, Quinag",4.22,809.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,Quinag,58.215166,-5.049904,239.4,5.18,There is a car parking area off the east side of the A894 at NC232273.,None nearby,No,3.3-4.5 hrs,06:08,
Sgùrr Innse,4.09,809.00,Central Highlands,Loch Linnhie to Loch Ericht,Easains and Innses,56.833318,-4.803988,131.7,3.1,There is parking on the left (where the road meets the line of an old tramway) at NN255788.,None nearby,No,3.3-4.5 hrs,10:18,
"Creach Bheinn, Appin",3.70,810.00,Central Highlands,Northwest Argyll and Appin,Glen Creran to Glen Etive,56.530519,-5.215038,132.6,3.35,There is a good sized area for parking just east of the bridge at Glengalmadale farm.,None nearby,No,3.3-4.5 hrs,09:48,
Meall a' Bhuachaille,3.92,810.00,Eastern Highlands,Cairngorms and North East Grampians,Lairig Ghru to Lairig an Laoigh,57.183558,-3.671107,132.6,3.07,"A bus runs from Aviemore to Glenmore or there is paid parking on the road at Glenmore, or in the Visitor Centre car park or across the road at the Beach car park.",None nearby,No,3.3-4.5 hrs,10:21,
Meall na Fearna,3.13,810.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Earn and Glen Artney,56.341253,-4.184333,67.1,2.59,"There is rough informal parking on the verges of the minor road along the south side of Loch Earn, mostly just west of the hump-backed bridge over the Ardvorlich burn.",None nearby,No,3.3-4.5 hrs,11:19,
Càrn na Saobhaidhe,2.50,811.10,Central Highlands,Monadh Liath to Glen Roy,Monadh Liath,57.198991,-4.320524,170.2,4.82,It is possible to park up to a couple of cars carefully near the bins at the B851 road junction at NH607244 (note the phone box shown on some maps no longer exists).,None nearby,No,3.3-4.5 hrs,06:51,
Beinn Each,3.72,811.20,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,South of Loch Earn and Glen Artney,56.313964,-4.262198,71.1,2.72,Park in the layby on the east side of the A84 immediately north of the bridge over the Ardchullerie Burn.,None nearby,No,3.3-4.5 hrs,11:03,
