Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews
Beinn na h-Uamha,3.64,762.40,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.74279,-5.407536,134.0,3.79,There is space to park with care just to the north of the bridge over the River Gour - take care not to impede any entrances.,None nearby,No,3.0-4.1 hrs,09:19,
Little Wyvis,3.07,763.00,Northern Highlands and Outer Hebrides,Loch Broom to Easter Ross,Easter Ross,57.64279,-4.632644,185.5,4.51,"From the car park take the footpath from near the entrance that heads across the old, double-arched stone bridge, with great views over the falls upriver.",None nearby,No,3.1-4.1 hrs,07:52,
"Cnoc Coinnich, Ardgoil",3.57,763.50,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Cowal and Ardgoil,56.166618,-4.846572,101.7,3.35,"There is parking here, and further parking over the bridge and round to the right to a car park at the back.",None nearby,No,3.1-4.1 hrs,10:11,
Meall an Fhùdair,3.29,764.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Glen Fyne,56.333904,-4.798879,93.6,2.82,Parking at head of Glen Fyne off A83 (NN229137),None nearby,No,3.1-4.1 hrs,11:15,
Spidean Còinich,4.47,764.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,Quinag,58.201891,-5.054469,239.2,5.18,There is a car parking area off the east side of the A894 at NC232273.,None nearby,No,3.1-4.1 hrs,06:32,
"An Caisteal, Ben Loyal",4.41,764.20,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Loch Eribol to Loch Naver,58.404942,-4.43502,234.2,5.03,There is a parking area on the left side.,None nearby,No,3.1-4.1 hrs,06:50,
Bràigh nan Uamhachan,3.47,765.00,Western Highlands and Inner Hebrides,South Morar to Glen Loy,Glen Finnan and Gleann Fionnlighe,56.927405,-5.328583,156.1,4.11,There is a small car park (signed Craigag car park) maintained by the Fassfern estate off to the north side of the A830 just west of the bridge over the Dubh Lighe.,None nearby,No,3.1-4.1 hrs,08:40,
Dùn da Ghaoithe,4.11,766.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Isle of Mull,56.460456,-5.779527,170.4,4.62,There is an informal parking area up on the right and limited space on the grassy verge.,None nearby,No,3.1-4.1 hrs,07:39,
Beinn Liath Mhòr a' Ghiubhais Li,2.78,766.00,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,The Fannichs,57.698677,-4.886377,193.2,4.15,"There is a parking area on the Loch Glascarnoch side of the A835 near the northern end of the loch, around a kilometre southeast of Torrandhu bridge.",None nearby,No,3.1-4.1 hrs,08:35,
Fuar Bheinn,3.20,766.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Morvern,56.649508,-5.503082,141.9,3.68,There is a good sized area for parking just east of the bridge at Glengalmadale farm.,None nearby,No,3.1-4.1 hrs,09:32,
Sàil Mhòr,3.91,766.20,Northern Highlands and Outer Hebrides,The Fannichs to Loch Maree,An Teallach,57.844467,-5.315828,216.2,4.63,There is parking in a layby beside the waterworks building a short distance west of the road bridge over the Ardessie Burn.,None nearby,No,3.1-4.2 hrs,07:32,
"Càrn Dearg, south of Glean Eachach",2.47,768.00,Central Highlands,Monadh Liath to Glen Roy,Glen Roy,57.015757,-4.707361,142.4,3.11,The walk begins from a parking area near the end of the public road up Glen Roy; it is on the right hand side just before a bridge and cattle grid with a sign for the end of the public road.,None nearby,No,3.1-4.2 hrs,10:34,
Beinn a' Choin,3.20,768.70,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Loch Voil to Strath Gartney,56.281098,-4.659938,72.3,2.12,Park at the RSPB car park behind Garrison Farm.,None nearby,No,3.1-4.2 hrs,12:33,
Meallach Mhòr,2.72,769.00,Eastern Highlands,Gaick and Atholl,Glen Tromie to Glen Feshie,56.992802,-4.015278,125.2,3.43,"Once back on the tarred surface, turn right to retrace your steps down Glen Tromie, and along the Speyside Way back to the Insh Marshes car park.",None nearby,No,3.1-4.2 hrs,09:56,
Cùl Beag,4.23,769.40,Northern Highlands and Outer Hebrides,Coigach and Assynt,Coigach and Inverpolly,58.029578,-5.150992,224.3,4.84,"There is a parking area opposite the southern end of the loop of old road, replaced by the modern A835.",None nearby,No,3.1-4.2 hrs,07:07,
Stob a' Bhealach an Sgriodain (Druim Tarsuinn),3.29,770.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.797527,-5.482137,151.6,5.27,Roadside parking on A861 near Strontian (NM816618),Strontian village,No,3.1-4.2 hrs,06:15,
Stob Coire a' Chearcaill,3.31,771.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.803266,-5.249628,160.5,3.97,"There is no official parking and space is really difficult to find - so park carefully near here as you can find, taking care not to obstruct entrances.",None nearby,No,3.1-4.2 hrs,08:51,
Beinn Stacach (Stob Fear-tomhais),2.92,771.80,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Loch Voil to Strath Gartney,56.314731,-4.468108,75.3,2.23,Parking at Balquhidder village (NN536209),None nearby,No,3.1-4.2 hrs,12:20,
Meall Lighiche,3.32,772.00,Central Highlands,Northwest Argyll and Appin,South of Glen Coe,56.628496,-5.107515,139.3,4.92,"Park a few metres east of bridge over the Allt Gleann Leac na Muidhe, where there is a car park.",None nearby,No,3.1-4.2 hrs,06:57,
Meall a' Phubuill,3.07,772.70,Western Highlands and Inner Hebrides,South Morar to Glen Loy,Glen Mallie and Glen Loy,56.918028,-5.239044,155.5,4.02,"The parking shown on OS 1:25k maps by the bridge over the River Loy does not exist; instead, just before reaching a gate at Achnanellan there is room for a couple of cars to park on the right hand sid",None nearby,No,3.1-4.2 hrs,08:45,
Beinn Spionnaidh,3.62,773.00,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Cape Wrath to Loch Eribol,58.473057,-4.810493,272.6,5.89,The walk begins from Carbreck on the A838; there is parking in an old quarry about 150 metres to the south.,None nearby,No,3.1-4.2 hrs,05:01,
Beinn nan Caorach,3.28,774.00,Western Highlands and Inner Hebrides,Loch Hourn to Glen Shiel,Arnisdale and Glen Elg,57.150483,-5.520448,208.0,5.19,There is a car park at Corran at the end of the public road through the Glenelg peninsula.,None nearby,No,3.1-4.2 hrs,06:25,
Shalloch on Minnoch,3.21,774.20,Southern Uplands,Galloway,Glen Trool and Glenkens,55.18366,-4.502481,103.8,3.01,"There is no formal parking at the start of this route, just under 1km south of Stinchar Bridge.",None nearby,No,3.1-4.2 hrs,10:46,
"Sgùrr Mhairi, Glamaig",3.91,775.00,Western Highlands and Inner Hebrides,Inner Hebrides,"Strathaird and Red Cuillin, Skye",57.292745,-6.128421,224.8,4.94,From the car park (turfed roof info board) walk down towards the old bridge and turn right through the gate footpath sign for Loch Coruisk and Elgol) and up to the statue of early mountaineers Norman ,None nearby,No,3.1-4.2 hrs,06:55,
Sgòrr Craobh a' Chaorainn,3.79,775.00,Western Highlands and Inner Hebrides,Ardnamuchan to Loch Linnhe,Ardgour,56.825852,-5.450532,157.9,3.61,"Begin the walk by turning left out of the car park, heading along the track (signed Ardgour, 18 miles) towards the small hydro-power station and cottages at Callop.",None nearby,No,3.1-4.2 hrs,09:34,
"Sàil Ghorm, Quinag",4.24,776.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,Quinag,58.225623,-5.069541,243.8,5.28,There is a car parking area off the east side of the A894 at NC232273.,None nearby,No,3.1-4.2 hrs,06:14,
"Glas Bheinn, Assynt",3.97,776.00,Northern Highlands and Outer Hebrides,Coigach and Assynt,East Assynt and Glencoul,58.192701,-4.970574,238.0,5.25,The walk begins from the car park adjacent to St Paul's Church in Kinlochleven; it is signed ' Grey Mare's Tail ' from the main road (it is no longer possible to start from the former Mamore Lodge Hot,None nearby,No,3.1-4.2 hrs,06:18,
Meall Horn,3.47,776.70,Northern Highlands and Outer Hebrides,Loch Shin to the Pentland Firth,Srath Dionard to Strath Stack,58.361699,-4.817584,275.1,7.79,The parking area is just before the Private Road sign for the track leading to Lone.,None nearby,No,3.1-4.2 hrs,01:13,
Meall na Leitreach,2.87,777.10,Central Highlands,Glen Garry to Loch Rannoch,West of Drumochter,56.804054,-4.227995,95.4,2.46,"There is parking on the approach road to Dalnaspidal Lodge, just before the level crossing over the railway.",None nearby,No,3.1-4.2 hrs,11:52,
Mount Battock,3.09,778.00,Eastern Highlands,Glenshee to Cairn o'Mount,Angus Glens,56.949282,-2.741964,101.2,3.24,Just past the bridge at Millden in Glen Esk turn right onto a minor road; there is parking immediately on the right.,None nearby,No,3.1-4.2 hrs,10:19,
Meall nam Maigheach,2.36,778.90,Southern Highlands incl Jura and Arran,Rannoch Moor to Loch Tay,Lawers and Tarmachan,56.563025,-4.302699,97.2,2.53,"It is possible to park near the cairn on the watershed at 549m, but since this limited parking is also the usual start point for Meall Corranaich and Meall a' Choire Leith , it is perhaps better to in",None nearby,No,3.1-4.2 hrs,11:44,
Sgùrr Mhic Bharraich,3.48,779.00,Western Highlands and Inner Hebrides,Loch Hourn to Glen Shiel,South Glen Shiel Ridge,57.199601,-5.448708,186.5,4.03,Take the minor road beside the shop in Shiel Bridge; there is a car park on the left before reaching the campsite.,None nearby,No,3.1-4.2 hrs,08:44,
Beinn Bheula,3.93,779.00,Southern Highlands incl Jura and Arran,Argyll and Kintyre,Cowal and Ardgoil,56.141842,-4.971481,103.2,2.9,"There is no car park, and it requires care to find a considerate place to park.",None nearby,No,3.1-4.2 hrs,11:00,
