Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews,PostCode
East Mount Lowther,3.7,631.00,Southern Uplands,Galloway,Lowther Hills,55.371075,-3.771092,50.4,1.45,"Follow the track uphill towards the cluster of white houses, and then keep straight ahead (with an old mining structure on the right) to pass through the parking area to the right of the houses.",None nearby,No,2.3-3.2 hrs,14:54,,DG4
Blairdenon Hill,2.4,631.90,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Ochils,56.195878,-3.829877,38.4,1.56,"Glen Sherup car park, 1.5mi W of Glendevon (NN971051)",None nearby,No,2.3-3.2 hrs,14:40,,FK12
Croft Head,3.6,636.20,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.337569,-3.336764,55.4,1.83,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.4-3.2 hrs,14:08,,DG10
Whitehope Heights,3.2,637.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.410673,-3.429788,49.6,1.75,Megget Stone layby (NT150202) or Talla Linnfoots,None nearby,No,2.4-3.2 hrs,14:18,,DG10
Alhang,2.8,642.00,Southern Uplands,Galloway,Forest of Carsphairn,55.284616,-4.139312,88.3,2.52,Roadside parking on A713 near Carsphairn (NS560196),None nearby,No,2.4-3.2 hrs,12:45,,DG4
Greenside Law,2.8,643.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.517772,-3.271864,47.4,1.86,Layby near Coulter Reservoir (NT031310),None nearby,No,2.4-3.2 hrs,14:04,,EH45
Tarmangie Hill,3.4,645.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Ochils,56.193458,-3.70629,40.5,1.56,"Glen Sherup car park, 1.5mi W of Glendevon (NN971051)",None nearby,No,2.4-3.3 hrs,14:34,,FK14
Comb Law,2.6,645.00,Southern Uplands,Galloway,Lowther Hills,55.349,-3.667195,54.1,1.82,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.4-3.3 hrs,14:03,,DG10
Craignaw,4.2,646.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.120375,-4.417621,99.5,4.16,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.4-3.3 hrs,09:22,,DG8
King's Seat Hill,3.5,648.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Ochils,56.180593,-3.719107,32.0,1.08,"Upper Mill St, Tillicoultry (NS914974)",Tillicoultry town centre,No,2.4-3.3 hrs,15:32,,FK13
